GEOID,NAME,WHITE,BLACK OR AFRICAN AMERICAN,AMERICAN INDIAN,ASIAN OR PACIFIC ISLANDER
51183,"Sussex County, Virginia",0.43601666182311344,0.5600116245277535,0.0017436791630340018,0.0022280344860990025
51191,"Washington County, Virginia",0.9786259541984733,0.012793506618997004,0.002048507102135472,0.006532032080394241
51197,"Wythe County, Virginia",0.9671755443019259,0.02613388533619192,0.0022548331053857244,0.0044357372564965076
51520,"Bristol city, Virginia",0.9205141003244323,0.06557274769153981,0.0035562765160968303,0.01035687546793112
51550,"Chesapeake city, Virginia",0.6274381993175964,0.3248744656078472,0.005277614194714294,0.04240972087984212
51595,"Emporia city, Virginia",0.2923688695322855,0.6921037682257148,0.0043552357508047715,0.01117212649119485
51620,"Franklin city, Virginia",0.3872795159006051,0.5972705034118707,0.0043774945281318395,0.011072486159392301
51650,"Hampton city, Virginia",0.41434617594458334,0.5495941670105929,0.005235771568222832,0.030823885476600876
51678,"Lexington city, Virginia",0.889406286379511,0.06679278230500582,0.002910360884749709,0.04089057043073341
51685,"Manassas Park city, Virginia",0.5710306406685237,0.22036521200866604,0.01795109873104302,0.19065304859176724
51710,"Norfolk city, Virginia",0.4913357762924671,0.4567123248403079,0.006344686563884018,0.04560721230334099
51735,"Poquoson city, Virginia",0.9624053607170829,0.010442955356365852,0.0035680097467583327,0.02358367417979288
51760,"Richmond city, Virginia",0.4980082713825388,0.46509019866541496,0.004556872098038718,0.03234465785400756
